F,phi_norm,a,c,C**2,a**2,a/t,a/c,ac/t,a/(c**2),a/(t**2),(a**2)/c,(a**2)/t,sin(a/t),cos(a/t),act,c**3,a**3,(c**3 * t)/a,(a**2 * c)/t,a * (c**2),tan(a/t),pn/a,pn/t,pn/c,(a**2+c**2)**.5,c**2+a**2
1.016223728,0.55810197,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,3.7206798,0.74413596,18.603399,0.1529705854,0.0234
1.004241384,0.534772856,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,3.565152373,0.7130304747,17.82576187,0.1529705854,0.0234
0.992067471,0.509915284,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,3.399435227,0.6798870453,16.99717613,0.1529705854,0.0234
0.973017953,0.484020501,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,3.22680334,0.645360668,16.1340167,0.1529705854,0.0234
0.950076391,0.457008628,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,3.046724187,0.6093448373,15.23362093,0.1529705854,0.0234
0.925092618,0.428765913,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,2.85843942,0.571687884,14.2921971,0.1529705854,0.0234
0.899124776,0.399129181,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,2.660861207,0.5321722413,13.30430603,0.1529705854,0.0234
0.87168374,0.367864932,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,2.45243288,0.490486576,12.2621644,0.1529705854,0.0234
0.843248544,0.334626507,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,2.23084338,0.446168676,11.1542169,0.1529705854,0.0234
0.812928502,0.298873846,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,1.992492307,0.3984984613,9.962461533,0.1529705854,0.0234
0.778538115,0.259704977,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,1.731366513,0.3462733027,8.656832567,0.1529705854,0.0234
0.737979683,0.215412869,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,1.436085793,0.2872171587,7.180428967,0.1529705854,0.0234
0.678287468,0.162033995,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,1.080226633,0.2160453267,5.401133167,0.1529705854,0.0234
0.622178996,0.11524249,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,0.7682832667,0.1536566533,3.841416333,0.1529705854,0.0234
0.6037503,0.086648486,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,0.5776565733,0.1155313147,2.888282867,0.1529705854,0.0234
0.594994831,0.055617873,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,0.37078582,0.074157164,1.8539291,0.1529705854,0.0234
0.601248332,0.025520211,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,0.17013474,0.034026948,0.8506737,0.1529705854,0.0234
0.072799628,1.919050277,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,12.79366851,2.558733703,43.40708991,0.1563795722,0.02445457061
0.075299067,1.845476471,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,12.30317647,2.460635295,41.74292048,0.1563795722,0.02445457061
0.077896542,1.77950582,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,11.86337213,2.372674427,40.25072717,0.1563795722,0.02445457061
0.081699233,1.71865482,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,11.4576988,2.29153976,38.87433549,0.1563795722,0.02445457061
0.085993462,1.662122725,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,11.08081817,2.216163633,37.59563333,0.1563795722,0.02445457061
0.090304422,1.609941444,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,10.73294296,2.146588592,36.41534245,0.1563795722,0.02445457061
0.094027152,1.562346936,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,10.41564624,2.083129248,35.3388,0.1563795722,0.02445457061
0.096396789,1.519732763,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,10.13155175,2.026310351,34.37490798,0.1563795722,0.02445457061
0.098738494,1.474549458,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,9.83032972,1.966065944,33.35290465,0.1563795722,0.02445457061
0.101532857,1.426070242,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,9.507134947,1.901426989,32.25635094,0.1563795722,0.02445457061
0.103780323,1.380045183,0.15,0.044210526,0.001954571,0.0225,0.2,0.044210526,0.008842105,76.74319728,0.266666667,0.508928571,0.03,0.198669331,0.980066578,0.004973684175,0.00008641259474,0.003375,0.0004320629737,0.00132631578,0.0002931855914,0.2027100357,9.20030122,1.840060244,31.21530793,0.1563795722,0.02445457061
